,id,prediction,pred_score,conversation_id,root,speaker,text,turnNumber,politeness_label,politeness_label_name,annotation_status
421980,acs-67cd0e6e-7907-40bc-b6d0-c1eb5371e2c8,1,0.9814312024245878,acs-9acdc275-6a20-4b31-bde5-1b2aab01dc39-2,acs-9acdc275-6a20-4b31-bde5-1b2aab01dc39-2,agent,"Thank you for reaching out to us, we are always here to help you. Have a nice day!",13,3,polite,annotated
421981,acs-3a2b3569-e997-4feb-a621-21f266341dd0,1,0.9814312024245878,acs-ea019f4e-0a00-4e7a-b654-5531cff04b52-1,acs-ea019f4e-0a00-4e7a-b654-5531cff04b52-1,agent,"Thank you for bringing this up to us, hope that was helpful. Have a great day!",20,3,polite,annotated
421982,acs-d9ce3593-bdf1-4817-a595-b3a7dbece2ec,1,0.9814312024245878,acs-45970f7c-658a-4df7-b9fb-52b90c2c5f4a-1,acs-45970f7c-658a-4df7-b9fb-52b90c2c5f4a-1,agent,Fantastic! Thank you for reaching out to us. Have a nice day. Bye.,9,3,polite,annotated
421983,acs-576c1f12-2cff-466a-aa79-69c5ec1d4352,1,0.9814312024245878,acs-ec04b7c6-2f97-4723-8ff7-11dc0139ff63-1,acs-ec04b7c6-2f97-4723-8ff7-11dc0139ff63-1,agent,"Thank you for helping me with your details. Currently we've three data plans available, they are 1 GB, 5 GB and 10 GB. which one you'd like to purchase? ",4,2,somewhat_polite,annotated
421984,acs-8ded4a91-1328-4f5f-9e95-f9acfbf55398,1,0.9814312024245878,acs-a003f84b-48ff-4ee8-9b9b-7842c9ad5cb4-1,acs-a003f84b-48ff-4ee8-9b9b-7842c9ad5cb4-1,agent,Fantastic! Thank you for reaching out to us. Have a great day. Bye.,13,3,polite,annotated
421985,acs-80d608bd-81e5-4796-a180-44edac7aea26,1,0.9814312024245878,acs-251e9ca6-fdf7-4692-918b-c72d6cb14c58-1,acs-251e9ca6-fdf7-4692-918b-c72d6cb14c58-1,agent,Fantastic! Thank you for reaching out to us. Have a great day. Bye.,11,3,polite,annotated
421986,acs-c480c0ca-ef06-4cc2-87a7-9c8bbc503f9b,1,0.9814312024245878,acs-e3b1e890-b54f-477e-a351-0d60b6f01553-1,acs-e3b1e890-b54f-477e-a351-0d60b6f01553-1,agent,"Thanks for sharing your details. As of now we've 1 GB, 5 GB and 10 GB data plans. Which one you'd like to buy? ",10,2,somewhat_polite,annotated
421987,acs-63091cb6-1560-41ff-aafe-57bbf058be1e,1,0.9814312024245878,acs-681bf46a-77a7-48af-9126-d8c75aff68bf-1,acs-681bf46a-77a7-48af-9126-d8c75aff68bf-1,agent,"Thank you for staying connected. Our executives will reach out to you for further details, will that be fine with you?",10,3,polite,annotated
421988,acs-63091cb6-1560-41ff-aafe-57bbf058be1e,1,0.9814312024245878,acs-681bf46a-77a7-48af-9126-d8c75aff68bf-2,acs-681bf46a-77a7-48af-9126-d8c75aff68bf-2,agent,"Thank you for staying connected. Our executives will reach out to you for further details, will that be fine with you?",10,3,polite,annotated
421989,acs-1212d94c-3618-47fd-a547-e825af323e7a,1,0.9814312024245878,acs-31e0335a-4681-4ae0-93b0-31b39f317d2b-1,acs-31e0335a-4681-4ae0-93b0-31b39f317d2b-1,agent,Fantastic! Thanks for reaching out to us. We are always at your back to provide you assistance. Have a pleasant day ahead! :),18,3,polite,annotated
421990,acs-1212d94c-3618-47fd-a547-e825af323e7a,1,0.9814312024245878,acs-31e0335a-4681-4ae0-93b0-31b39f317d2b-2,acs-31e0335a-4681-4ae0-93b0-31b39f317d2b-2,agent,Fantastic! Thanks for reaching out to us. We are always at your back to provide you assistance. Have a pleasant day ahead! :),18,3,polite,annotated
421991,acs-7cb67f98-967f-4351-9a7f-874a62129cd5,1,0.9814312024245878,acs-7f1e2baf-ba60-4261-82e5-8e61ad025ce6-1,acs-7f1e2baf-ba60-4261-82e5-8e61ad025ce6-1,agent,Fantastic! Thank you for reaching out to us. Have a great day. Bye.,12,3,polite,annotated
421992,acs-7cb67f98-967f-4351-9a7f-874a62129cd5,1,0.9814312024245878,acs-7f1e2baf-ba60-4261-82e5-8e61ad025ce6-2,acs-7f1e2baf-ba60-4261-82e5-8e61ad025ce6-2,agent,Fantastic! Thank you for reaching out to us. Have a great day. Bye.,12,3,polite,annotated
421993,acs-8d0aa050-4e81-4d0c-a354-78433940c212,1,0.9814312024245878,acs-c0e79599-8e45-45f7-bb62-fee2b13391c7-1,acs-c0e79599-8e45-45f7-bb62-fee2b13391c7-1,agent,"Thank you for reaching out to us, it's a pleasure assisting you. Have a great day ahead!",18,3,polite,annotated
421994,acs-77c265b9-c49d-4a57-ac3a-a9e5fb040812,1,0.9814312024245878,acs-7b80f003-2b10-47d9-bcb7-75529badb7e7-1,acs-7b80f003-2b10-47d9-bcb7-75529badb7e7-1,agent,"Okay then, thank you for reaching out to us, hope you'll have a great day ahead! ",13,3,polite,annotated
421995,acs-40858bec-b051-4267-9bd1-945a65a39aca,1,0.9814312024245878,acs-7cc35e81-244e-492a-be44-3f8d00af309d-1,acs-7cc35e81-244e-492a-be44-3f8d00af309d-1,agent,"Thanks for sharing your details. We are currently offering 1 GB, 5 GB and 10 GB data plans. Which one you'd like to sign up for? ",7,2,somewhat_polite,annotated
421996,acs-40858bec-b051-4267-9bd1-945a65a39aca,1,0.9814312024245878,acs-7cc35e81-244e-492a-be44-3f8d00af309d-2,acs-7cc35e81-244e-492a-be44-3f8d00af309d-2,agent,"Thanks for sharing your details. We are currently offering 1 GB, 5 GB and 10 GB data plans. Which one you'd like to sign up for? ",7,2,somewhat_polite,annotated
421997,acs-0a122f69-b729-46f9-aba1-fb91c5ad3cfb,1,0.9814312024245878,acs-d935b6ce-884c-4723-be45-82a2eb6cd86e-1,acs-d935b6ce-884c-4723-be45-82a2eb6cd86e-1,agent,"Superb! Thank you for the details. We offer 1 GB, 5 GB and 10 GB data plans for our cable service. Which one of these are you looking for?",6,2,somewhat_polite,annotated
421998,acs-0a122f69-b729-46f9-aba1-fb91c5ad3cfb,1,0.9814312024245878,acs-d935b6ce-884c-4723-be45-82a2eb6cd86e-2,acs-d935b6ce-884c-4723-be45-82a2eb6cd86e-2,agent,"Superb! Thank you for the details. We offer 1 GB, 5 GB and 10 GB data plans for our cable service. Which one of these are you looking for?",6,2,somewhat_polite,annotated
421999,acs-c8b89d0e-7d1c-4905-8dcb-c8e9a619ae0f,1,0.9814312024245878,acs-83aa7ee9-7a83-43ed-8f0b-d313528efb14-1,acs-83aa7ee9-7a83-43ed-8f0b-d313528efb14-1,agent,"Thanks for providing your details, We have 1 GB, 5 GB and 10 GB data plans, which one you'd like to purchase? ",10,2,somewhat_polite,annotated
422000,acs-c8b89d0e-7d1c-4905-8dcb-c8e9a619ae0f,1,0.9814312024245878,acs-83aa7ee9-7a83-43ed-8f0b-d313528efb14-2,acs-83aa7ee9-7a83-43ed-8f0b-d313528efb14-2,agent,"Thanks for providing your details, We have 1 GB, 5 GB and 10 GB data plans, which one you'd like to purchase? ",10,2,somewhat_polite,annotated
422001,acs-53e7286e-3300-4eed-a2a5-24b081b8b5a9,1,0.9814312024245878,acs-51270fd1-d0ad-45fc-827f-f8233f35552a-1,acs-51270fd1-d0ad-45fc-827f-f8233f35552a-1,agent,"Thanks for sharing your details. As of now we've 1 GB, 5 GB and 10 GB data plans. Which one you'd like to buy? ",8,2,somewhat_polite,annotated
422002,acs-18138265-a1c9-41ad-87a5-f44f7e5aa69a,1,0.9814312024245878,acs-c971aedf-c90c-4dea-b5e6-132a03249008-1,acs-c971aedf-c90c-4dea-b5e6-132a03249008-1,agent,"Thank you very much. The services we provide are cable connection, internet services and the phone connection. The plans we offer are 1 GB, 5 GB, 10 GB and the prices are $5, $25 and $50 respectively. ",6,2,somewhat_polite,annotated
422003,acs-2605abe3-5893-48e5-8878-da7d3730e6b9,1,0.9814312024245878,acs-6716d153-ae7d-460c-9788-b9816b6808ab-1,acs-6716d153-ae7d-460c-9788-b9816b6808ab-1,,"Of course! Firstly, Thank you for choosing Net Link services for you new media connection.  The plans we offer are 1 GB, 5 GB, 10 GB and the prices are $5, $25 and $50 respectively.",3,3,polite,annotated
422004,acs-f3304e00-18ce-44ce-969f-02171db12260,1,0.9814312024245878,acs-520da5e1-89d0-46ad-982f-c9ddd5213d2d-1,acs-520da5e1-89d0-46ad-982f-c9ddd5213d2d-1,agent,"Thank you for sharing the details. We have different data plans which ranges among 1GB, 5GB, 10GB. Which one you would like to purchase?",7,2,somewhat_polite,annotated
422005,acs-f3304e00-18ce-44ce-969f-02171db12260,1,0.9814312024245878,acs-520da5e1-89d0-46ad-982f-c9ddd5213d2d-2,acs-520da5e1-89d0-46ad-982f-c9ddd5213d2d-2,agent,"Thank you for sharing the details. We have different data plans which ranges among 1GB, 5GB, 10GB. Which one you would like to purchase?",7,2,somewhat_polite,annotated
422006,acs-4082df5f-d83b-4693-9667-9503f5ed8c12,1,0.9814312024245878,acs-ee58e96f-cf05-4607-9d75-ab85a683bc5a-1,acs-ee58e96f-cf05-4607-9d75-ab85a683bc5a-1,agent," It's a pleasure assisting you, thank you for reaching out to us. Have an awesome day ahead!",15,3,polite,annotated
422007,acs-df6735f1-04b8-4912-8a8b-4aa88e702ac3,1,0.9814312024245878,acs-07bd541f-8354-4db9-8bfe-a488ea6800c2-1,acs-07bd541f-8354-4db9-8bfe-a488ea6800c2-1,agent,"It's a pleasure assisting you. Thank you for reaching out to us, have an awesome day ahead!",11,3,polite,annotated
422008,acs-68beb001-d12c-403f-a488-475c6ae20dfb,1,0.9814312024245878,acs-27579bfd-0c83-4ad0-a3cf-24fe78f69ffd-1,acs-27579bfd-0c83-4ad0-a3cf-24fe78f69ffd-1,agent,Fantastic! Thank you for reaching out to us. Have a great day. Bye.,9,3,polite,annotated
422009,acs-dc759b69-29e2-484f-a253-b3d6c619c57b,1,0.9814312024245878,acs-4ee6debd-392d-4150-bfeb-ae4e0697be27-1,acs-4ee6debd-392d-4150-bfeb-ae4e0697be27-1,agent,Thank you for reaching out to us. Have a great day. Bye.,3,2,somewhat_polite,annotated
422010,acs-dc759b69-29e2-484f-a253-b3d6c619c57b,1,0.9814312024245878,acs-4ee6debd-392d-4150-bfeb-ae4e0697be27-2,acs-4ee6debd-392d-4150-bfeb-ae4e0697be27-2,agent,Thank you for reaching out to us. Have a great day. Bye.,3,2,somewhat_polite,annotated
422011,acs-44f344e5-9e35-42e6-aa8d-067567114011,1,0.9814312024245878,acs-cf40bdb8-2275-4542-86f9-c9d035207691-1,acs-cf40bdb8-2275-4542-86f9-c9d035207691-1,agent,"Amazing! Thanks for being patient. We have three data plans- 1 GB, 5 GB and 10 GB. Which one you'd like to purchase?",11,3,polite,annotated
422012,acs-44f344e5-9e35-42e6-aa8d-067567114011,1,0.9814312024245878,acs-cf40bdb8-2275-4542-86f9-c9d035207691-2,acs-cf40bdb8-2275-4542-86f9-c9d035207691-2,agent,"Amazing! Thanks for being patient. We have three data plans- 1 GB, 5 GB and 10 GB. Which one you'd like to purchase?",11,3,polite,annotated
422013,acs-14374cdb-cbbf-4b4f-9689-da2619b019fc,1,0.9814312024245878,acs-ae5ecb38-5677-405a-a1c4-dbfdce750b59-1,acs-ae5ecb38-5677-405a-a1c4-dbfdce750b59-1,agent,Fantastic! Thank you for reaching out to us. Have a great day. Bye.,11,3,polite,annotated
422014,acs-14374cdb-cbbf-4b4f-9689-da2619b019fc,1,0.9814312024245878,acs-ae5ecb38-5677-405a-a1c4-dbfdce750b59-2,acs-ae5ecb38-5677-405a-a1c4-dbfdce750b59-2,agent,Fantastic! Thank you for reaching out to us. Have a great day. Bye.,11,3,polite,annotated
422015,acs-c1dfc84b-6607-49f1-8078-b46b9877298e,1,0.9814312024245878,acs-953970c9-9d29-47c6-a5d0-05fbe6ae06cc-1,acs-953970c9-9d29-47c6-a5d0-05fbe6ae06cc-1,agent,Fantastic! Thank you for reaching out to us. Have a great day. Bye.,10,3,polite,annotated
422016,acs-88fbee9b-e825-4f24-9ea7-9039f9b196b2,1,0.9814312024245878,acs-b66df0ef-de69-4855-ad66-a708647d6460-1,acs-b66df0ef-de69-4855-ad66-a708647d6460-1,agent,"Alright! It was great assisting you, thanks for choosing our services. Have a nice day, goodbye.",11,3,polite,annotated
422017,acs-88fbee9b-e825-4f24-9ea7-9039f9b196b2,1,0.9814312024245878,acs-b66df0ef-de69-4855-ad66-a708647d6460-2,acs-b66df0ef-de69-4855-ad66-a708647d6460-2,agent,"Alright! It was great assisting you, thanks for choosing our services. Have a nice day, goodbye.",11,3,polite,annotated
422018,acs-e4b71db3-568a-4bc3-8533-896a19467c87,1,0.9814312024245878,acs-7479f2e6-29d9-4e42-abf0-b78f0e37ac21-1,acs-7479f2e6-29d9-4e42-abf0-b78f0e37ac21-1,agent,Fantastic! Thank you for reaching out to us. Have a nice day. Bye.,9,3,polite,annotated
422019,acs-3e4e2d53-823f-4113-8a4d-155a5f04f59c,1,0.9814312024245878,acs-34a3ffe7-41d5-489f-90b6-5ed772deea06-1,acs-34a3ffe7-41d5-489f-90b6-5ed772deea06-1,agent,"Amazing! Thanks for being patient. We have three data plans- 1 GB, 5 GB and 10 GB. Which one you'd like to purchase?",7,3,polite,annotated
422020,acs-3e4e2d53-823f-4113-8a4d-155a5f04f59c,1,0.9814312024245878,acs-34a3ffe7-41d5-489f-90b6-5ed772deea06-2,acs-34a3ffe7-41d5-489f-90b6-5ed772deea06-2,agent,"Amazing! Thanks for being patient. We have three data plans- 1 GB, 5 GB and 10 GB. Which one you'd like to purchase?",7,3,polite,annotated
422021,acs-39f25a73-3e31-4348-9716-c4684bc6fcf6,1,0.9814312024245878,acs-94a08648-1674-4dc9-b48a-56a52366868d-1,acs-94a08648-1674-4dc9-b48a-56a52366868d-1,agent,"Thanks for helping me with your details. As of now we are offering three data plans, 1 GB, 5 GB and 10 GB. Which one you'd like to buy?",4,2,somewhat_polite,annotated
422022,acs-39f25a73-3e31-4348-9716-c4684bc6fcf6,1,0.9814312024245878,acs-94a08648-1674-4dc9-b48a-56a52366868d-2,acs-94a08648-1674-4dc9-b48a-56a52366868d-2,agent,"Thanks for helping me with your details. As of now we are offering three data plans, 1 GB, 5 GB and 10 GB. Which one you'd like to buy?",4,2,somewhat_polite,annotated
422023,acs-258ceafc-85eb-4cbc-8e14-1b25091ea6c4,1,0.9814312024245878,acs-214c0d56-3c65-4ead-b89c-24d1a358f91f-1,acs-214c0d56-3c65-4ead-b89c-24d1a358f91f-1,agent,Fantastic! Thank you for reaching out to us. Have a great day. Bye.,11,3,polite,annotated
422024,acs-79a90b31-5c7e-4bfa-a573-9863be6959bd,1,0.9814312024245878,acs-c3855a17-0e79-4d06-9e2b-a4affa1c8593-1,acs-c3855a17-0e79-4d06-9e2b-a4affa1c8593-1,agent,"It's a pleasure assisting you. Thank you for reaching out to us, have an awesome day ahead!",15,3,polite,annotated
422025,acs-29ec0ede-6c36-47cd-9a55-2a53eb6c0c59,1,0.9814312024245878,acs-e527065a-14b7-4dcd-9738-151be16e0c9c-1,acs-e527065a-14b7-4dcd-9738-151be16e0c9c-1,agent,"Thanks for helping me with your details. As of now we are offering three data plans, 1 GB, 5 GB and 10 GB. Which one you'd like to buy?",4,2,somewhat_polite,annotated
422026,acs-29ec0ede-6c36-47cd-9a55-2a53eb6c0c59,1,0.9814312024245878,acs-e527065a-14b7-4dcd-9738-151be16e0c9c-2,acs-e527065a-14b7-4dcd-9738-151be16e0c9c-2,agent,"Thanks for helping me with your details. As of now we are offering three data plans, 1 GB, 5 GB and 10 GB. Which one you'd like to buy?",4,2,somewhat_polite,annotated
422027,acs-37e1e2ab-63b0-4b3a-a2c4-8a4125f051b8,1,0.9814312024245878,acs-456ab130-200a-4dae-9edc-a785933a5ad1-1,acs-456ab130-200a-4dae-9edc-a785933a5ad1-1,agent,"Thanks for helping me with your details. As of now we are offering three data plans, 1 GB, 5 GB and 10 GB. Which one you'd like to buy?",4,2,somewhat_polite,annotated
422028,acs-37e1e2ab-63b0-4b3a-a2c4-8a4125f051b8,1,0.9814312024245878,acs-456ab130-200a-4dae-9edc-a785933a5ad1-2,acs-456ab130-200a-4dae-9edc-a785933a5ad1-2,agent,"Thanks for helping me with your details. As of now we are offering three data plans, 1 GB, 5 GB and 10 GB. Which one you'd like to buy?",4,2,somewhat_polite,annotated
422029,acs-7cb656b6-08e6-4b51-9f02-bc335923e69b,1,0.9814312024245878,acs-6a94311d-043e-47c5-b0bb-dc7b96777723-1,acs-6a94311d-043e-47c5-b0bb-dc7b96777723-1,agent,Fantastic! Thank you for reaching out to us. Have a great day. Bye.,9,3,polite,annotated
422030,acs-6a6cdedd-8387-4025-9c69-8dc9b0f91622,1,0.9814312024245878,acs-da888bc6-1d38-4db7-a872-fbf9018b8067-1,acs-da888bc6-1d38-4db7-a872-fbf9018b8067-1,agent,"Alright! Thank you for reaching out to us, looking forward to connect back again. Have a nice day!",14,3,polite,annotated
422031,acs-6a6cdedd-8387-4025-9c69-8dc9b0f91622,1,0.9814312024245878,acs-da888bc6-1d38-4db7-a872-fbf9018b8067-2,acs-da888bc6-1d38-4db7-a872-fbf9018b8067-2,agent,"Alright! Thank you for reaching out to us, looking forward to connect back again. Have a nice day!",14,3,polite,annotated
422032,acs-8aa7d224-1394-4bac-9c06-ad5c9862f53d,1,0.9814312024245878,acs-e4ab3e83-838d-4166-aeda-50b0b2667ece-1,acs-e4ab3e83-838d-4166-aeda-50b0b2667ece-1,agent,"Alright! It was great assisting you, thanks for choosing our services. Have a great day, goodbye.",14,3,polite,annotated
422033,acs-09f296d6-9c70-4c27-8689-21373c410981,1,0.9814312024245878,acs-bcd2fe0c-f224-4d78-9c35-d6814f50220a-1,acs-bcd2fe0c-f224-4d78-9c35-d6814f50220a-1,agent," It's a pleasure assisting you, thank you for reaching out to us. Have an awesome day ahead!",13,3,polite,annotated
422034,acs-89008adf-8801-4e72-98e0-75d229d6966f,1,0.9814312024245878,acs-65074f18-fb29-4a37-bd68-e716d218616e-1,acs-65074f18-fb29-4a37-bd68-e716d218616e-1,agent,Fantastic! Thank you for reaching out to us. Have a great day. Bye.,11,3,polite,annotated
422035,acs-89008adf-8801-4e72-98e0-75d229d6966f,1,0.9814312024245878,acs-65074f18-fb29-4a37-bd68-e716d218616e-2,acs-65074f18-fb29-4a37-bd68-e716d218616e-2,agent,Fantastic! Thank you for reaching out to us. Have a great day. Bye.,11,3,polite,annotated
422036,acs-010a1522-8280-4784-9be4-61409ea8b2ed,1,0.9814312024245878,acs-624ebb38-dbd2-448f-bbff-954e010ea2df-1,acs-624ebb38-dbd2-448f-bbff-954e010ea2df-1,agent,Fantastic! Thank you for reaching out to us. Have a great day. Bye.,10,3,polite,annotated
422037,acs-ec801524-9032-47d6-b7d9-412c8d3bed36,1,0.9814312024245878,acs-d656a6da-cdb6-439f-b5e5-765f25c5075f-1,acs-d656a6da-cdb6-439f-b5e5-765f25c5075f-1,agent,"Thank you for sharing the details. We have different data plans which ranges among 1GB, 5GB, 10GB. Which one you would like to purchase?",6,2,somewhat_polite,annotated
422038,acs-ec801524-9032-47d6-b7d9-412c8d3bed36,1,0.9814312024245878,acs-d656a6da-cdb6-439f-b5e5-765f25c5075f-2,acs-d656a6da-cdb6-439f-b5e5-765f25c5075f-2,agent,"Thank you for sharing the details. We have different data plans which ranges among 1GB, 5GB, 10GB. Which one you would like to purchase?",6,2,somewhat_polite,annotated
422039,acs-187eb69c-e6d0-493b-83db-1a4727e63d92,1,0.9814312024245878,acs-2ea322c1-3d3e-42a3-af2b-ad4f926a9141-1,acs-2ea322c1-3d3e-42a3-af2b-ad4f926a9141-1,agent,"Thanks for helping me with your details. As of now we are offering three data plans, 1 GB, 5 GB and 10 GB. Which one you'd like to buy?",4,2,somewhat_polite,annotated
422040,acs-187eb69c-e6d0-493b-83db-1a4727e63d92,1,0.9814312024245878,acs-2ea322c1-3d3e-42a3-af2b-ad4f926a9141-2,acs-2ea322c1-3d3e-42a3-af2b-ad4f926a9141-2,agent,"Thanks for helping me with your details. As of now we are offering three data plans, 1 GB, 5 GB and 10 GB. Which one you'd like to buy?",4,2,somewhat_polite,annotated
422041,acs-69d11cba-fc84-48c6-a9e3-5c12e3624c7d,1,0.9814312024245878,acs-7827f9af-3454-4835-8efa-82b1e3b21d16-1,acs-7827f9af-3454-4835-8efa-82b1e3b21d16-1,agent,"Wonderful! Thank you for visiting us, wish to serve you again. Have a great day!",15,3,polite,annotated
422042,acs-69342b68-e4c0-479c-9c48-c28947c50222,1,0.9814312024245878,acs-ef3c06eb-1a85-4f1d-99ec-0e3a1715b502-1,acs-ef3c06eb-1a85-4f1d-99ec-0e3a1715b502-1,agent,"It's a pleasure assisting you, thank you for reaching out to us. Have an awesome day ahead!",12,3,polite,annotated
422043,acs-69342b68-e4c0-479c-9c48-c28947c50222,1,0.9814312024245878,acs-ef3c06eb-1a85-4f1d-99ec-0e3a1715b502-2,acs-ef3c06eb-1a85-4f1d-99ec-0e3a1715b502-2,agent,"It's a pleasure assisting you, thank you for reaching out to us. Have an awesome day ahead!",12,3,polite,annotated
422044,acs-63067085-6e33-4b10-b257-fe84b7e48b18,1,0.9814312024245878,acs-c94354ee-60c5-432a-85bd-4fddcb782a80-1,acs-c94354ee-60c5-432a-85bd-4fddcb782a80-1,agent," It's a pleasure assisting you, thank you for reaching out to us. Have an awesome day ahead!",9,3,polite,annotated
422045,acs-99b107b0-66c6-4951-9e62-47463f398bef,1,0.9814312024245878,acs-915ae436-7c85-4209-b317-02962e7f7f0b-1,acs-915ae436-7c85-4209-b317-02962e7f7f0b-1,agent,"Thank you for staying connected. Our executives will reach out to you for further details, will that be fine with you?",11,3,polite,annotated
422046,acs-99b107b0-66c6-4951-9e62-47463f398bef,1,0.9814312024245878,acs-915ae436-7c85-4209-b317-02962e7f7f0b-2,acs-915ae436-7c85-4209-b317-02962e7f7f0b-2,agent,"Thank you for staying connected. Our executives will reach out to you for further details, will that be fine with you?",11,3,polite,annotated
422047,acs-4df8a1cb-9f8e-4efe-9642-bc9786f5b81d,1,0.9814312024245878,acs-1fbcfe73-d966-4f3d-b0f3-60f4d13c0fd5-1,acs-1fbcfe73-d966-4f3d-b0f3-60f4d13c0fd5-1,agent,"Thank you for reaching out to us, we are always here to help you. Have a nice day!",14,3,polite,annotated
422048,acs-4df8a1cb-9f8e-4efe-9642-bc9786f5b81d,1,0.9814312024245878,acs-1fbcfe73-d966-4f3d-b0f3-60f4d13c0fd5-2,acs-1fbcfe73-d966-4f3d-b0f3-60f4d13c0fd5-2,agent,"Thank you for reaching out to us, we are always here to help you. Have a nice day!",14,3,polite,annotated
422049,acs-f27f935f-bb61-4c60-9439-18a8c1a119df,1,0.9814312024245878,acs-ef0019ce-f272-4415-9bed-d5bbf719d954-1,acs-ef0019ce-f272-4415-9bed-d5bbf719d954-1,agent,Thank you for choosing Buddha Media/Cable Services. Kindly call us on 474-594-506 for any related query ...Stay connected:) Good Day!,12,3,polite,annotated
422050,acs-f27f935f-bb61-4c60-9439-18a8c1a119df,1,0.9814312024245878,acs-ef0019ce-f272-4415-9bed-d5bbf719d954-2,acs-ef0019ce-f272-4415-9bed-d5bbf719d954-2,agent,Thank you for choosing Buddha Media/Cable Services. Kindly call us on 474-594-506 for any related query ...Stay connected:) Good Day!,12,3,polite,annotated
422051,acs-88defc6c-9b74-4841-80f3-438bb1b3a889,1,0.9814312024245878,acs-000a134b-9fac-4043-a7ee-18f94965a919-1,acs-000a134b-9fac-4043-a7ee-18f94965a919-1,agent,"Thank you for choosing us, wish to serve you again. Have a nice day!",13,3,polite,annotated
422052,acs-8b9a89c6-2010-4a98-8e18-354605d70417,1,0.9814312024245878,acs-8def7da2-f54d-42ef-a715-0e2b8d97a5e6-1,acs-8def7da2-f54d-42ef-a715-0e2b8d97a5e6-1,agent,"Thank you for sharing the details. We have different data plans which ranges among 1GB, 5GB, 10GB. Which one you would like to purchase?",6,2,somewhat_polite,annotated
422053,acs-8b9a89c6-2010-4a98-8e18-354605d70417,1,0.9814312024245878,acs-8def7da2-f54d-42ef-a715-0e2b8d97a5e6-2,acs-8def7da2-f54d-42ef-a715-0e2b8d97a5e6-2,agent,"Thank you for sharing the details. We have different data plans which ranges among 1GB, 5GB, 10GB. Which one you would like to purchase?",6,2,somewhat_polite,annotated
