ID,wav,input_recognition,input_transcription,start,end,turn_restart,system_action,system_action_full,uncovered_entity,entity_extracted,correct_label,interruption,interruption_total,dtmf,dtmf_total,repeat,repeat_total,start_over,start_over_total,normalized_input,myAction,total_act0,total_act1,total_act2,total_act3,total_act4,total_act5,total_act6,total_act7,total_act8,total_act9
20090913_041,012.raw,to braddock,to braddock,107.392,108.292,FALSE,request,->request$query.arrival_place,[],{},{},0,3,0,0,0,0,0,0,to <place>,0,1,2,2,0,0,1,2,2,0,0
20090913_041,013.raw,eleven p m,eleven p m,113.704,115.054,FALSE,impl-conf,->implicit_confirm$query.arrival_place->request$exact_travel_time,[],{u'query.arrival_place': u'BRADDOCK'},{},0,3,0,0,0,0,0,0,<time>,2,1,2,3,0,0,1,2,3,0,0
20090913_044,005.raw,mckeesport,mckeesport,29.286,30.066,FALSE,impl-conf,->implicit_confirm$query.departure_place->request$query.arrival_place,[],{u'query.departure_place': u'HOMESTEAD'},{u'to.neighborhood': u'mckeesport'},0,0,0,0,0,0,0,0,<neighborhood>,1,0,1,0,0,0,0,1,0,0,0
20090913_044,006.raw,next bus,next bus,35.628,36.398,FALSE,impl-conf,->implicit_confirm$query.arrival_place->request$query.travel_time,[],{u'query.arrival_place': u'MCKEESPORT'},{},0,0,0,0,0,0,0,0,next bus,0,1,1,0,0,0,1,1,0,0,0
20090913_048,002.raw,second and grant,second and grant,20.435,21.365,FALSE,ack,->inform$confirm_okay->request$query.departure_place,[],{},{u'from.desc': u'second and grant'},0,0,0,0,0,0,0,0,<place>,1,0,1,0,0,0,0,1,0,0,0
20090913_048,003.raw,yes,yes,25.847,26.327,FALSE,expl-conf,->explicit_confirm$query.departure_place,[],{u'query.departure_place': u'SECOND AND GRANT'},{},1,1,0,0,0,0,0,0,yes,1,0,2,0,0,0,0,2,0,0,0
20090913_048,004.raw,squirrel hill,squirrel hill,30.961,31.611,FALSE,ack,->inform$confirm_okay->request$query.arrival_place,[],{},{u'to.neighborhood': u'squirrel hill'},0,1,0,0,0,0,0,0,<neighborhood>,0,1,2,0,0,0,1,2,0,0,0
20090913_048,006.raw,yes eight,nine thirty,36.663,37.443,FALSE,impl-conf,->implicit_confirm$query.arrival_place->request$query.travel_time,[],{u'query.arrival_place': u'SQUIRREL HILL'},{},0,1,0,0,0,0,0,0,yes <time>,0,2,2,0,0,0,2,2,0,0,0
20090913_048,007.raw,nine thirty,nine thirty,41.045,41.945,FALSE,request,->request$query.travel_time,[],{},{},0,1,0,0,0,0,0,0,<time> thirty,2,2,2,1,0,0,2,2,1,0,0
20090913_049,004.raw,east pittsburgh,east pittsburgh,24.092,24.942,FALSE,impl-conf,->implicit_confirm$query.departure_place->request$query.arrival_place,[],{u'query.departure_place': u'SWISSVALE'},{u'to.neighborhood': u'east pittsburgh'},0,1,0,0,0,0,0,0,east <place>sburgh,1,0,1,0,0,0,0,1,0,0,0
20090913_049,006.raw,nine thirty p m,nine thirty p m,30.738,31.928,FALSE,request,->request$query.travel_time,[],{},{},0,2,0,0,0,0,0,0,<time> thirty p m,2,0,1,1,0,0,0,1,1,0,0
20090913_051,004.raw,second and grant,second at grant,32.278,33.578,FALSE,request,->request$query.departure_place,[],{},{u'from.desc': u'second at grant'},0,0,0,0,0,0,0,0,<place>,1,0,1,0,0,0,0,1,0,0,0
20090913_051,005.raw,no yes,yes,38.208,39.208,FALSE,expl-conf,->explicit_confirm$query.departure_place,[],{u'query.departure_place': u'SECOND AND GRANT'},{},0,0,0,0,0,0,0,0,no yes,1,0,2,0,0,0,0,2,0,0,0
20090913_051,006.raw,second and grant,second and grant,42.224,43.324,FALSE,request,->request$query.departure_place,[],{},{u'from.desc': u'second and grant'},0,0,0,0,0,0,0,0,<place>,1,0,3,0,0,0,0,3,0,0,0
20090913_051,008.raw,yes,yes,47.926,48.386,FALSE,expl-conf,->explicit_confirm$query.departure_place,[],{u'query.departure_place': u'SECOND AND GRANT'},{},1,1,0,0,0,0,0,0,yes,1,0,4,0,0,0,0,4,0,0,0
20090913_051,009.raw,mckeesport transportation center,mckeesport transportation center,52.716,54.786,FALSE,ack,->inform$confirm_okay->request$query.arrival_place,[],{},{u'to.desc': u'mckeesport transportation center'},0,1,0,0,0,0,0,0,<neighborhood> <place>,0,1,4,0,0,0,1,4,0,0,0
20090913_051,010.raw,yes,yes,60.308,60.688,FALSE,expl-conf,->explicit_confirm$query.arrival_place,[],{u'query.arrival_place': u'MCKEESPORT TRANSPORTATION CENTER'},{},0,1,0,0,0,0,0,0,yes,0,2,4,0,0,0,2,4,0,0,0
20090913_051,012.raw,seven thirty,at seven thirty,69.876,71.126,FALSE,request,->request$query.travel_time,[],{},{},0,1,0,0,0,0,0,0,<time> thirty,2,2,4,1,0,0,2,4,1,0,0
20090913_051,013.raw,when is the previous bus,when is the previous bus,97.876,99.326,FALSE,impl-conf,->implicit_confirm$query.travel_time.time->inform$looking_up_database_first->inform$result->request$next_query,[],"{u'query.travel_time.time': u'Leaving at 7 30 a.m.', u'result': u'61C'}",{},1,2,0,0,0,0,0,0,when is the previous bus,3,2,4,1,1,0,2,4,1,1,0
20090913_052,002.raw,no,no,21.099,21.529,FALSE,expl-conf,->explicit_confirm$query.departure_place,[],{u'query.departure_place': u'JONES'},{},0,0,0,0,0,0,0,0,no,1,0,1,0,0,0,0,1,0,0,0
20090913_052,003.raw,south hills machine,south hills machine,23.855,25.035,FALSE,request,->request$query.departure_place,[],{},{},0,0,0,0,0,0,0,0,<place> hills machine,1,0,2,0,0,0,0,2,0,0,0
20090913_052,005.raw,south hills junction,south hills junction,32.215,33.525,FALSE,example,->request$query.departure_place,[],{},{u'from.desc': u'south hills junction'},0,0,0,0,0,0,0,0,<place>,1,0,3,0,0,0,0,3,0,0,0
20090913_052,006.raw,yes,yes,37.715,37.975,FALSE,expl-conf,->explicit_confirm$query.departure_place,[],{u'query.departure_place': u'SOUTH HILLS JUNCTION'},{},0,0,0,0,0,0,0,0,yes,1,0,4,0,0,0,0,4,0,0,0
20090913_052,007.raw,south side,south side,42.101,42.741,FALSE,ack,->inform$confirm_okay->request$query.arrival_place,[],{},{u'to.neighborhood': u'south side'},0,0,0,0,0,0,0,0,<place> side,0,1,4,0,0,0,1,4,0,0,0
20090913_052,008.raw,hello o'clock,eleven o clock,49.629,50.499,FALSE,impl-conf,->implicit_confirm$query.arrival_place->request$query.travel_time,[],{u'query.arrival_place': u'SOUTH SIDE'},{},0,0,0,0,0,0,0,0,hello o'clock,0,2,4,0,0,0,2,4,0,0,0
20090913_052,009.raw,moroeville bus,when is the next bus,54.079,55.099,FALSE,request,->request$query.travel_time,[],{},{},0,0,0,0,0,0,0,0,moroeville bus,2,2,4,1,0,0,2,4,1,0,0
20090913_052,010.raw,when is the next bus,when is the next bus,57.909,59.149,FALSE,request,->request$query.travel_time,[],{},{},0,0,0,0,0,0,0,0,when is the next bus,2,2,4,2,0,0,2,4,2,0,0
20090913_052,011.raw,yes,yes,63.143,63.423,FALSE,expl-conf,->explicit_confirm$query.travel_time.time,[],{u'query.travel_time.time': u'the next bus'},{},0,0,0,0,0,0,0,0,yes,2,2,4,3,0,0,2,4,3,0,0
20090913_052,012.raw,when is the bus,when is the bus,83.923,84.933,FALSE,ack,->inform$confirm_okay->inform$looking_up_database_first->inform$result->request$next_query,[],{u'result': u'54C'},{},1,1,0,0,0,0,0,0,when is the bus,3,2,4,3,1,0,2,4,3,1,0
20090913_053,004.raw,hawkins avenue,hawkins avenue,29.685,31.025,FALSE,impl-conf,->implicit_confirm$query.departure_place->request$query.arrival_place,[],{u'query.departure_place': u'SWISSVALE'},{u'to.desc': u'hawkins avenue'},0,0,0,0,0,0,0,0,<place> avenue,1,0,1,0,0,0,0,1,0,0,0
20090913_053,005.raw,next bus,next bus,35.751,36.631,FALSE,impl-conf,->implicit_confirm$query.arrival_place->request$query.travel_time,[],{u'query.arrival_place': u'HAWKINS AVENUE'},{},0,0,0,0,0,0,0,0,next bus,0,1,1,0,0,0,1,1,0,0,0
20090913_054,002.raw,east liberty,east liberty,20.5,21.21,FALSE,ack,->inform$confirm_okay->request$query.departure_place,[],{},{u'from.neighborhood': u'east liberty'},0,0,0,0,0,0,0,0,<place>,1,0,1,0,0,0,0,1,0,0,0
20090913_054,003.raw,north shore,north shore,26.45,27.24,FALSE,impl-conf,->implicit_confirm$query.departure_place->request$query.arrival_place,[],{u'query.departure_place': u'EAST LIBERTY'},{u'to.desc': u'north shore'},0,0,0,0,0,0,0,0,<place> shore,1,0,2,0,0,0,0,2,0,0,0
20090913_054,007.raw,no,no,39.528,39.808,FALSE,expl-conf,->explicit_confirm$query.arrival_place,[],{u'query.arrival_place': u'NORTH'},{},0,0,0,0,0,0,0,0,no,0,1,2,0,0,0,1,2,0,0,0
20090913_054,009.raw,for for,for for,48.744,49.384,FALSE,impl-conf,->implicit_confirm$query.arrival_place->request$query.travel_time,[],{u'query.arrival_place': u'FOURTH'},{},0,0,0,0,0,0,0,0,for for,0,2,2,0,0,0,2,2,0,0,0
20090913_054,010.raw,coal sure,coal sure,52.642,53.842,FALSE,request,->request$query.travel_time,[],{},{u'to.desc': u'coal'},0,0,0,0,0,0,0,0,<place> sure,2,2,2,1,0,0,2,2,1,0,0
20090913_055,005.raw,murray eighth,murray eighth,32.092,33.062,FALSE,ack,->inform$confirm_okay->request$query.departure_place,[],{},{},0,3,0,0,0,0,0,0,<place> <place>,1,0,1,0,0,0,0,1,0,0,0
20090913_055,006.raw,yes,yes,37.356,37.866,FALSE,expl-conf,->explicit_confirm$query.departure_place,[],{u'query.departure_place': u'MURRAY'},{},0,3,0,0,0,0,0,0,yes,1,0,2,0,0,0,0,2,0,0,0
20090913_055,007.raw,main kennywood mall wal-mart,main kennywood mall wal-mart,42.524,44.264,FALSE,ack,->inform$confirm_okay->request$query.arrival_place,[],{},{u'to.desc': u'main'},0,3,0,0,0,0,0,0,<place> <place> <place> <place>,0,1,2,0,0,0,1,2,0,0,0
20090913_055,008.raw,nine,no,47.802,48.392,FALSE,expl-conf,->explicit_confirm$query.arrival_place,[],{u'query.arrival_place': u'MAIN'},{},0,3,0,0,0,0,0,0,<time>,0,2,2,0,0,0,2,2,0,0,0
20090913_055,009.raw,nine,no,55.466,56.156,FALSE,expl-conf,->explicit_confirm$query.arrival_place,[],{u'query.arrival_place': u'MAIN'},{},1,4,0,0,0,0,0,0,<time>,0,3,2,0,0,0,3,2,0,0,0
20090913_055,010.raw,kennywood boulevard,kennywood boulevard,59.312,60.862,FALSE,request,->request$query.arrival_place,[],{},{u'to.desc': u'kennywood boulevard'},0,4,0,0,0,0,0,0,<place>,0,4,2,0,0,0,4,2,0,0,0
20090913_055,011.raw,yes,yes,65.466,65.936,FALSE,expl-conf,->explicit_confirm$query.arrival_place,[],{u'query.arrival_place': u'KENNYWOOD BOULEVARD'},{},0,4,0,0,0,0,0,0,yes,0,5,2,0,0,0,5,2,0,0,0
20090913_055,012.raw,yes,yes,71.29,72.13,FALSE,expl-conf,->explicit_confirm$query.arrival_place,[],{u'query.arrival_place': u'KENNYWOOD BOULEVARD'},{},1,5,0,0,0,0,0,0,yes,0,6,2,0,0,0,6,2,0,0,0
20090913_058,002.raw,downtown,downtown,20.76,21.52,FALSE,impl-conf,->implicit_confirm$query.departure_place->request$query.arrival_place,[],{u'query.departure_place': u'PITT'},{u'to.neighborhood': u'downtown'},0,0,0,0,0,0,0,0,<neighborhood>,1,0,1,0,0,0,0,1,0,0,0
20090913_058,003.raw,eleven o'clock,eleven o'clock,26.526,27.386,FALSE,impl-conf,->implicit_confirm$query.arrival_place->request$query.travel_time,[],{u'query.arrival_place': u'DOWNTOWN'},{u'time.hour': 11},0,0,0,0,0,0,0,0,<time> o'clock,0,1,1,0,0,0,1,1,0,0,0
20090913_060,002.raw,arlington moroeville,arlington avenue,19.294,20.914,FALSE,ack,->inform$confirm_okay->request$query.departure_place,[],{},{u'from.desc': u'arlington avenue'},0,0,0,0,0,0,0,0,<place> moroeville,1,0,1,0,0,0,0,1,0,0,0
20090913_060,003.raw,yes,yes,25.058,25.518,FALSE,expl-conf,->explicit_confirm$query.departure_place,[],{u'query.departure_place': u'ARLINGTON'},{},1,1,0,0,0,0,0,0,yes,1,0,2,0,0,0,0,2,0,0,0
20090913_060,004.raw,pitt oakland,pitt oakland,29.068,29.898,FALSE,ack,->inform$confirm_okay->request$query.arrival_place,[],{},{},0,1,0,0,0,0,0,0,<place> <place>,0,1,2,0,0,0,1,2,0,0,0
20090913_060,005.raw,yes,yes,34.088,34.448,FALSE,expl-conf,->explicit_confirm$query.arrival_place,[],{u'query.arrival_place': u'OAKLAND'},{},0,1,0,0,0,0,0,0,yes,0,2,2,0,0,0,2,2,0,0,0
20090913_060,007.raw,previous bus,previous bus,55.05,55.99,FALSE,impl-conf,->implicit_confirm$query.travel_time.time->inform$looking_up_database_first->inform$result->request$next_query,[],"{u'query.travel_time.time': u'The next bus', u'result': u'54C'}",{},1,2,0,0,0,0,0,0,previous bus,3,2,2,0,1,0,2,2,0,1,0
20090913_063,002.raw,allegheny center,allegheny center,21.787,22.587,FALSE,impl-conf,->implicit_confirm$query.departure_place->request$query.arrival_place,[],{u'query.departure_place': u'SOUTH SIDE'},{u'to.desc': u'allegheny center'},0,0,0,0,0,0,0,0,<place>,1,0,1,0,0,0,0,1,0,0,0
20090913_063,003.raw,next bus,next bus,28.241,28.811,FALSE,impl-conf,->implicit_confirm$query.arrival_place->request$query.travel_time,[],{u'query.arrival_place': u'ALLEGHENY CENTER'},{},0,0,0,0,0,0,0,0,next bus,0,1,1,0,0,0,1,1,0,0,0
20090913_063,004.raw,goodbye,goodbye,61.683,62.003,FALSE,impl-conf,->implicit_confirm$query.travel_time.time->inform$looking_up_database_first->inform$result->request$next_query,[],"{u'query.travel_time.time': u'The next bus', u'result': u'54C'}",{},0,0,0,0,0,0,0,0,goodbye,3,1,1,0,1,0,1,1,0,1,0
20090913_064,001.raw,61a hays leaving the airport,sixty one a leaving oakland,15.268,18.298,FALSE,expl-conf,->explicit_confirm$query.departure_place,[],{u'query.departure_place': u'RANKIN'},{},0,0,0,0,0,0,0,0,<route> <uncovered_place> leaving the <place>,1,0,1,0,0,0,0,1,0,0,0
20090913_064,002.raw,no,no,23.382,24.172,FALSE,expl-conf,->explicit_confirm$query.departure_place,[],{u'query.departure_place': u'THE AIRPORT'},{},0,0,0,0,0,0,0,0,no,1,0,2,0,0,0,0,2,0,0,0
20090913_064,003.raw,no,no,28.234,28.604,FALSE,expl-conf,->explicit_confirm$query.departure_place,[],{u'query.departure_place': u'RANKIN'},{},0,0,0,0,0,0,0,0,no,1,0,3,0,0,0,0,3,0,0,0
20090913_064,005.raw,no,no,32.338,32.748,FALSE,expl-conf,->explicit_confirm$query.departure_place,[],{u'query.departure_place': u'PENN'},{},0,0,0,0,0,0,0,0,no,1,0,4,0,0,0,0,4,0,0,0
20090913_064,010.raw,oakland,oakland,64.022,64.582,FALSE,request,->request$query.departure_place,[],{},{u'from.neighborhood': u'oakland'},0,0,0,0,0,0,0,0,<place>,1,0,5,0,0,0,0,5,0,0,0
20090913_064,011.raw,wilkinsburg,wilkinsburg,69.166,70.146,FALSE,impl-conf,->implicit_confirm$query.departure_place->request$query.arrival_place,[],{u'query.departure_place': u'OAKLAND'},{u'to.neighborhood': u'wilkinsburg'},0,0,0,0,0,0,0,0,<neighborhood>,1,0,6,0,0,0,0,6,0,0,0
20090913_064,012.raw,now,now,75.222,75.752,FALSE,impl-conf,->implicit_confirm$query.arrival_place->request$query.travel_time,[],{u'query.arrival_place': u'WILKINSBURG'},{u'time.rel': u'next'},0,0,0,0,0,0,0,0,now,0,1,6,0,0,0,1,6,0,0,0
20090913_064,014.raw,when is the previous bus,when is the previous bus,102.062,103.352,FALSE,impl-conf,->implicit_confirm$query.travel_time.time->inform$looking_up_database_first->inform$result->request$next_query,[],"{u'query.travel_time.time': u'The next bus', u'result': u'61A'}",{},1,1,0,0,0,0,0,0,when is the previous bus,3,1,6,0,1,0,1,6,0,1,0
20090913_065,004.raw,bigelow boulevard,bigelow boulevard,27.456,28.306,FALSE,ack,->inform$confirm_okay->request$query.departure_place,[],{},{u'from.desc': u'bigelow boulevard'},0,2,0,1,0,0,0,0,<place> boulevard,1,0,1,0,0,0,0,1,0,0,0
20090913_065,005.raw,downtown,downtown,32.906,33.626,FALSE,impl-conf,->implicit_confirm$query.departure_place->request$query.arrival_place,[],{u'query.departure_place': u'BIGELOW BOULEVARD'},{u'to.neighborhood': u'downtown'},0,2,0,1,0,0,0,0,<neighborhood>,1,0,2,0,0,0,0,2,0,0,0
20090913_065,006.raw,next bus,next bus,37.75,38.39,FALSE,impl-conf,->implicit_confirm$query.arrival_place->request$query.travel_time,[],{u'query.arrival_place': u'DOWNTOWN'},{},0,2,0,1,0,0,0,0,next bus,0,1,2,0,0,0,1,2,0,0,0
20090913_065,007.raw,at nine,next bus,52.574,53.114,FALSE,impl-conf,->implicit_confirm$query.travel_time.time->inform$looking_up_database_first->inform$result->request$next_query,[],"{u'query.travel_time.time': u'The next bus', u'result': u'61C'}",{},1,3,0,1,0,0,0,0,at <time>,3,1,2,0,1,0,1,2,0,1,0
20090913_066,003.raw,downtown pittsburgh,downtown pittsburgh,15.38,16.69,FALSE,request,->request$query.departure_place,[],{},{u'from.neighborhood': u'downtown pittsburgh'},0,3,0,0,0,0,0,0,<neighborhood> <place>sburgh,1,0,1,0,0,0,0,1,0,0,0
20090913_066,004.raw,mckeesport,mckeesport,21.972,22.962,FALSE,impl-conf,->implicit_confirm$query.departure_place->request$query.arrival_place,[],{u'query.departure_place': u'DOWNTOWN PITTSBURGH'},{u'to.neighborhood': u'mckeesport'},0,3,0,0,0,0,0,0,<neighborhood>,1,0,2,0,0,0,0,2,0,0,0
20090913_066,005.raw,mckeesport,mckeesport,25.546,26.576,FALSE,request,->request$query.arrival_place,[],{},{u'to.neighborhood': u'mckeesport'},0,3,0,0,0,0,0,0,<neighborhood>,0,1,2,0,0,0,1,2,0,0,0
20090913_066,006.raw,yes,yes,29.278,29.618,FALSE,expl-conf,->explicit_confirm$query.arrival_place,[],{u'query.arrival_place': u'MCKEESPORT'},{},1,4,0,0,0,0,0,0,yes,0,2,2,0,0,0,2,2,0,0,0
20090913_066,009.raw,when is the next bus,when is the next bus,60.402,61.592,FALSE,impl-conf,->implicit_confirm$query.travel_time.time->inform$looking_up_database_first->inform$result->request$next_query,[],"{u'query.travel_time.time': u'The next bus', u'result': u'61C'}",{},1,5,0,0,0,0,0,0,when is the next bus,3,2,2,0,1,0,2,2,0,1,0
20090913_066,010.raw,when goodbye stop,wheres the bus stop,84.426,85.996,FALSE,hold-on,->inform$looking_up_database_subsequent->inform$result->request$next_query,[],{u'result': u'61C'},{},1,6,0,0,0,0,0,0,when goodbye stop,3,2,2,0,2,0,2,2,0,2,0
20090914_000,001.raw,yes,yes,15.964,16.334,FALSE,expl-conf,->explicit_confirm$query.travel_time.time,[],{u'query.travel_time.time': u'the next bus'},{},0,0,0,0,0,0,0,0,yes,2,0,0,1,0,0,0,0,1,0,0
20090914_000,002.raw,fifth and moultrie,fifth and moultrie,20.29,21.52,FALSE,ack,->inform$confirm_okay->request$query.departure_place,[],{},{u'from.desc': u'fifth and moultrie'},0,0,0,0,0,0,0,0,<place> and moultrie,1,0,1,1,0,0,0,1,1,0,0
20090914_000,003.raw,yes,yes,25.958,26.248,FALSE,expl-conf,->explicit_confirm$query.departure_place,[],{u'query.departure_place': u'FIFTH AND MOULTRIE'},{},0,0,0,0,0,0,0,0,yes,1,0,2,1,0,0,0,2,1,0,0
20090914_000,004.raw,downtown,downtown,29.364,30.064,FALSE,ack,->inform$confirm_okay->request$query.arrival_place,[],{},{u'to.neighborhood': u'downtown'},0,0,0,0,0,0,0,0,<neighborhood>,0,1,2,1,0,0,1,2,1,0,0
20090914_000,005.raw,downtown,downtown,35.036,35.616,FALSE,example,->request$query.arrival_place,[],{},{u'to.neighborhood': u'downtown'},1,1,0,0,0,0,0,0,<neighborhood>,0,2,2,1,0,0,2,2,1,0,0
20090914_001,002.raw,mckeesport,mckeesport,20.577,21.257,FALSE,impl-conf,->implicit_confirm$query.departure_place->request$query.arrival_place,[],{u'query.departure_place': u'DOWNTOWN'},{u'to.neighborhood': u'mckeesport'},0,0,0,0,0,0,0,0,<neighborhood>,1,0,1,0,0,0,0,1,0,0,0
20090914_001,003.raw,next bus,next bus,25.867,26.487,FALSE,impl-conf,->implicit_confirm$query.arrival_place->request$query.travel_time,[],{u'query.arrival_place': u'MCKEESPORT'},{},0,0,0,0,0,0,0,0,next bus,0,1,1,0,0,0,1,1,0,0,0
20090914_002,002.raw,leaving home home,leaving from downtown,23.02,24.21,FALSE,impl-conf,->implicit_confirm$query.departure_place->request$query.arrival_place,[],{u'query.departure_place': u'WALNUT'},{},0,1,0,0,0,0,0,0,leaving home home,1,0,1,0,0,0,0,1,0,0,0
20090914_002,003.raw,forbes wood,forbes wood,28.278,29.178,FALSE,request,->request$query.arrival_place,[],{},{u'to.desc': u'forbes'},0,1,0,0,0,0,0,0,<place> <place>,0,1,1,0,0,0,1,1,0,0,0
20090914_002,004.raw,wilkinsburg,wilkinsburg,33.57,34.75,FALSE,expl-conf,->explicit_confirm$query.arrival_place,[],{u'query.arrival_place': u'FORBES'},{u'to.neighborhood': u'wilkinsburg'},0,1,0,0,0,0,0,0,<neighborhood>,0,2,1,0,0,0,2,1,0,0,0
20090914_002,005.raw,1c swissvale,1c swissvale,39.62,40.72,FALSE,expl-conf,->explicit_confirm$query.arrival_place,[],{u'query.arrival_place': u'FORBES'},{},0,1,0,0,0,0,0,0,<uncovered_route> <place>,0,3,1,0,0,0,3,1,0,0,0
20090914_002,006.raw,no,no,44.336,44.806,FALSE,expl-conf,->explicit_confirm$query.arrival_place,[],{u'query.arrival_place': u'FORBES'},{},0,1,0,0,0,0,0,0,no,0,4,1,0,0,0,4,1,0,0,0
20090914_002,007.raw,yes,yes,48.162,48.662,FALSE,expl-conf,->explicit_confirm$query.arrival_place,[],{u'query.arrival_place': u'SWISSVALE'},{},1,2,0,0,0,0,0,0,yes,0,5,1,0,0,0,5,1,0,0,0
20090914_008,003.raw,yes,yes,20.112,20.382,FALSE,expl-conf,->explicit_confirm$query.departure_place,[],{u'query.departure_place': u'FORBES AND CRAIG'},{},1,3,0,1,0,0,0,0,yes,1,0,1,0,0,0,0,1,0,0,0
20090914_008,005.raw,fifth r a smithfield,fifth r a smithfield,27.364,29.464,FALSE,request,->request$query.arrival_place,[],{},{},0,4,0,1,0,0,0,0,<place> r a <place>,0,1,1,0,0,0,1,1,0,0,0
20090914_008,006.raw,yes,yes,34.862,35.142,FALSE,expl-conf,->explicit_confirm$query.arrival_place,[],{u'query.arrival_place': u'SMITHFIELD'},{},0,4,0,1,0,0,0,0,yes,0,2,1,0,0,0,2,1,0,0,0
20090914_008,008.raw,the next bus,the next bus,41.016,41.756,FALSE,request,->request$query.travel_time,[],{},{},0,5,0,2,0,0,0,0,the next bus,2,2,1,1,0,0,2,1,1,0,0
20090914_008,010.raw,when is the next bus,when is the next bus,67.638,69.008,FALSE,impl-conf,->implicit_confirm$query.travel_time.time->inform$looking_up_database_first->inform$result->request$next_query,[],"{u'query.travel_time.time': u'The next bus', u'result': u'67A'}",{},1,6,0,2,0,0,0,0,when is the next bus,3,2,1,1,1,0,2,1,1,1,0
20090914_008,011.raw,when is the previous bus,when is the previous bus,73.606,74.936,FALSE,hold-on,->inform$looking_up_database_subsequent->inform$result,[],{u'result': u'61D'},{},1,7,0,2,0,0,0,0,when is the previous bus,3,2,1,1,2,0,2,1,1,2,0
